tipo_persona	n_deudas_actual	proxy_edad_actual	deuda_total_actual	deuda_con_garantia_actual	situacion_mes_actual	prop_con_garantia_actual	tiene_garantia_actual	mora_30_dias_mes_actual	n_meses_seg_bcra	media_deuda_total	media_deuda_situacion_1	media_deuda_situacion_2	media_deuda_con_garantia	media_deuda_sin_garantia	media_deuda_en_default	max_situacion_mes	max_sit_mes_sin_garantia	media_prop_situacion_1	media_prop_situacion_2	media_prop_default	media_prop_con_garantia	prop_tuvo_garantia	prop_mora_30_dias_seg	prop_default_seg	default	tiene_default_historico	tiene_garantia_historica
20	1	254	6	0	1	0	0	0	4	5.25	5.25	0	0	5.25	0	1	1	1	0	0	0	0	0	0	0	0	0
27	1	37	12	0	1	0	0	0	7	15.571428571428571	15.571428571428571	0	0	15.571428571428571	0	1	1	1	0	0	0	0	0	0	0	0	0
20	1	142	48	0	1	0	0	0	6	38.5	38.5	0	0	38.5	0	1	1	1	0	0	0	0	0	0	0	0	0
20	1	232	5	0	1	0	0	0	5	3	3	0	0	3	0	1	1	1	0	0	0	0	0	0	0	0	0
27	1	322	36	0	1	0	0	0	7	38.142857142857146	38.142857142857146	0	0	38.142857142857146	0	1	1	1	0	0	0	0	0	0	0	0	0
20	1	134	38	0	1	0	0	0	7	27.428571428571427	27.428571428571427	0	0	27.428571428571427	0	1	1	1	0	0	0	0	0	0	0	0	0
20	1	171	18	0	1	0	0	0	6	14.666666666666666	14.666666666666666	0	0	14.666666666666666	0	1	1	1	0	0	0	0	0	0	0	0	0
27	2	130	34	0	1	0	0	0	6	21.5	21.5	0	0	21.5	0	1	1	1	0	0	0	0	0	0	0	0	0
20	2	111	7	0	1	0	0	0	7	9.714285714285714	9.714285714285714	0	0	9.714285714285714	0	1	1	1	0	0	0	0	0	0	0	0	0
27	1	65	27	27	1	1	1	0	7	80.57142857142857	74.71428571428571	5.857142857142857	35	45.57142857142857	0	2	1	0.950363196125908	0.049636803874092014	0	0.5823317183871883	0.8571428571428571	0.14285714285714285	0	0	0	1
20	1	82	1	0	1	0	0	0	6	1.5	1.5	0	0	1.5	0	1	1	1	0	0	0	0	0	0	0	0	0
27	5	297	83	0	1	0	0	0	7	72.85714285714286	72.85714285714286	0	0	72.85714285714286	0	1	1	1	0	0	0	0	0	0	1	0	0
20	3	352	78	0	1	0	0	0	7	85.85714285714286	85.85714285714286	0	0	85.85714285714286	0	1	1	1	0	0	0	0	0	0	0	0	0
20	1	136	6	0	1	0	0	0	7	9.428571428571429	9.428571428571429	0	0	9.428571428571429	0	1	1	1	0	0	0	0	0	0	0	0	0
20	2	162	52	0	1	0	0	0	7	86.85714285714286	77	6.857142857142857	0	86.85714285714286	3	3	3	0.9125457875457875	0.05860805860805861	0.028846153846153848	0	0	0.2857142857142857	0.14285714285714285	1	1	0
Global	1	348	2	0	1	0	0	0	3	3.3333333333333335	3.3333333333333335	0	0	3.3333333333333335	0	1	1	1	0	0	0	0	0	0	0	0	0
20	1	268	24	0	1	0	0	0	7	20.857142857142858	20.857142857142858	0	0	20.857142857142858	0	1	1	1	0	0	0	0	0	0	0	0	0
27	3	54	73	0	1	0	0	0	7	105.14285714285714	74.71428571428571	18	0	105.14285714285714	12.428571428571429	3	3	0.7203180920542701	0.1704019005753639	0.10928000737036601	0	0	0.8571428571428571	0.5714285714285714	1	1	0
27	1	361	28	0	1	0	0	0	7	24	24	0	0	24	0	1	1	1	0	0	0	0	0	0	0	0	0
27	1	49	5	0	1	0	0	0	6	4.833333333333333	4.833333333333333	0	0	4.833333333333333	0	1	1	1	0	0	0	0	0	0	0	0	0
20	1	80	31	0	1	0	0	0	7	34.142857142857146	34.142857142857146	0	0	34.142857142857146	0	1	1	1	0	0	0	0	0	0	1	0	0
27	1	137	5	0	1	0	0	0	6	5.333333333333333	5.333333333333333	0	0	5.333333333333333	0	1	1	1	0	0	0	0	0	0	0	0	0
27	1	400	12	0	1	0	0	0	7	14	14	0	0	14	0	1	1	1	0	0	0	0	0	0	0	0	0
27	1	338	21	0	1	0	0	0	7	23.714285714285715	23.714285714285715	0	0	23.714285714285715	0	1	1	1	0	0	0	0	0	0	0	0	0
27	1	308	8	0	1	0	0	0	7	21.142857142857142	21	0.14285714285714285	0	21.142857142857142	0	2	2	0.9950738916256158	0.0049261083743842365	0	0	0	0.14285714285714285	0	0	0	0
20	1	259	5	0	1	0	0	0	7	12	11	0	0	12	1	5	5	0.9523809523809523	0	0.047619047619047616	0	0	0.14285714285714285	0.14285714285714285	0	1	0
Global	1	310	92	0	1	0	0	0	7	94.42857142857143	94.42857142857143	0	0	94.42857142857143	0	1	1	1	0	0	0	0	0	0	0	0	0
27	4	270	82	60	1	0.7317073170731707	1	0	7	97.57142857142857	97.57142857142857	0	76.14285714285714	21.428571428571427	0	1	1	1	0	0	0.7807922960334593	1	0	0	0	0	1
