tipo_persona	proxy_edad_actual	prop_con_garantia_actual	n_meses_seg_bcra	max_situacion_mes	max_sit_mes_sin_garantia	media_prop_situacion_1	media_prop_situacion_2	media_prop_default	media_prop_con_garantia	prop_tuvo_garantia	prop_mora_30_dias_seg	prop_default_seg	default	tiene_default_historico	tiene_garantia_historica	proxy_edad_actual_sqrt	prop_con_garantia_actual_sqrt	n_meses_seg_bcra_sqrt	media_prop_situacion_1_sqrt	media_prop_situacion_2_sqrt	media_prop_default_sqrt	media_prop_con_garantia_sqrt	prop_tuvo_garantia_sqrt	prop_mora_30_dias_seg_sqrt	prop_default_seg_sqrt	proxy_edad_actual_pot	prop_con_garantia_actual_pot	n_meses_seg_bcra_pot	media_prop_situacion_1_pot	media_prop_situacion_2_pot	media_prop_default_pot	media_prop_con_garantia_pot	prop_tuvo_garantia_pot	prop_mora_30_dias_seg_pot	prop_default_seg_pot
Global	263	0	7	1	1	1	0	0	0	0	0	0	0	0	0	16.217274740226856	0	2.6457513110645907	1	0	0	0	0	0	0	69169	0	49	1	0	0	0	0	0	0
20	178	0	3	1	1	1	0	0	0	0	0	0	1	0	0	13.341664064126334	0	1.7320508075688772	1	0	0	0	0	0	0	31684	0	9	1	0	0	0	0	0	0
27	226	0	7	5	5	0.5570265276198456	0.06531771799628942	0.377655754383865	0	0	0.8571428571428571	0.8571428571428571	1	1	0	15.033296378372908	0	2.6457513110645907	0.7463420982497541	0.25557331237100916	0.6145370244207138	0	0	0.9258200997725514	0.9258200997725514	51076	0	49	0.31027855247222264	0.004266404284242791	0.14262386881924619	0	0	0.7346938775510203	0.7346938775510203
27	237	0	7	1	1	1	0	0	0	0	0	0	0	0	0	15.394804318340652	0	2.6457513110645907	1	0	0	0	0	0	0	56169	0	49	1	0	0	0	0	0	0
Global	235	0	7	1	1	1	0	0	0	0	0	0	0	0	0	15.329709716755891	0	2.6457513110645907	1	0	0	0	0	0	0	55225	0	49	1	0	0	0	0	0	0
27	258	0	4	1	1	1	0	0	0	0	0	0	0	0	0	16.06237840420901	0	2	1	0	0	0	0	0	0	66564	0	16	1	0	0	0	0	0	0
20	208	0	6	1	1	1	0	0	0	0	0	0	1	0	0	14.422205101855956	0	2.449489742783178	1	0	0	0	0	0	0	43264	0	36	1	0	0	0	0	0	0
20	184	0	7	1	1	1	0	0	0	0	0	0	0	0	0	13.564659966250536	0	2.6457513110645907	1	0	0	0	0	0	0	33856	0	49	1	0	0	0	0	0	0
Global	260	0	7	1	1	1	0	0	0	0	0	0	0	0	0	16.1245154965971	0	2.6457513110645907	1	0	0	0	0	0	0	67600	0	49	1	0	0	0	0	0	0
20	142	0	7	2	2	0.9638381668456856	0.03616183315431436	0	0	0	0.2857142857142857	0	0	0	0	11.916375287812984	0	2.6457513110645907	0.9817525996123899	0.19016264920933962	0	0	0	0.5345224838248488	0	20164	0	49	0.9289840118684516	0.001307678177080469	0	0	0	0.08163265306122448	0
